"lon","lat","beta"
160,20.2617797851562,-0.00622005780599659
161.25,20.2617797851562,-0.00410401674203345
162.5,20.2617797851562,-0.0018235868132721
163.75,20.2617797851562,0.00035191772257331
165,20.2617797851562,0.00243541095764841
166.25,20.2617797851562,0.00460204374336195
167.5,20.2617797851562,0.00680692167090906
168.75,20.2617797851562,0.00880652600534767
170,20.2617797851562,0.00976066453439236
171.25,20.2617797851562,0.00982883280435256
172.5,20.2617797851562,0.00956887189154029
173.75,20.2617797851562,0.00876673289352673
175,20.2617797851562,0.00734764020023715
176.25,20.2617797851562,0.00570403774612936
177.5,20.2617797851562,0.00408857971847627
178.75,20.2617797851562,0.0028064871650822
180,20.2617797851562,0.00224369651514699
181.25,20.2617797851562,0.00242491741076354
182.5,20.2617797851562,0.00282999025033337
183.75,20.2617797851562,0.00340923455749266
185,20.2617797851562,0.00487354854138197
186.25,20.2617797851562,0.00710208160595844
187.5,20.2617797851562,0.00901099284395919
188.75,20.2617797851562,0.00996688499154947
190,20.2617797851562,0.0103459501475236
191.25,20.2617797851562,0.0111485561004863
192.5,20.2617797851562,0.0123554269206199
193.75,20.2617797851562,0.0129731428190299
195,20.2617797851562,0.013299170612153
196.25,20.2617797851562,0.0149268270208691
197.5,20.2617797851562,0.0177624315611483
198.75,20.2617797851562,0.0202792493446407
200,20.2617797851562,0.0213187018330794
201.25,20.2617797851562,0.0213793394035909
202.5,20.2617797851562,0.0202033863278392
203.75,20.2617797851562,0.0181502466576228
205,20.2617797851562,0.0175539806639896
206.25,20.2617797851562,0.0115859964639883
207.5,20.2617797851562,0.00682505608738882
208.75,20.2617797851562,0.00234045572722796
210,20.2617797851562,-0.0022676818833408
211.25,20.2617797851562,-0.00662673849307644
212.5,20.2617797851562,-0.0106733042397381
213.75,20.2617797851562,-0.0143757367300038
215,20.2617797851562,-0.0168455217566094
216.25,20.2617797851562,-0.0177861038864179
217.5,20.2617797851562,-0.017968394491772
218.75,20.2617797851562,-0.0180601250649828
220,20.2617797851562,-0.0180373719117513
221.25,20.2617797851562,-0.0177509734256716
222.5,20.2617797851562,-0.0168442371671712
223.75,20.2617797851562,-0.0151412813550704
225,20.2617797851562,-0.0125666269149014
226.25,20.2617797851562,-0.00853718065749033
227.5,20.2617797851562,-0.00474187261487616
228.75,20.2617797851562,-0.00127574108188515
230,20.2617797851562,0.00210200604549821
231.25,20.2617797851562,0.00512377872295941
232.5,20.2617797851562,0.00708523291113609
233.75,20.2617797851562,0.0077576139190252
235,20.2617797851562,0.00705038945554649
236.25,20.2617797851562,0.00482702704511345
237.5,20.2617797851562,0.00200941702438338
238.75,20.2617797851562,0.000909563883097278
240,20.2617797851562,0.00171199786768433
241.25,20.2617797851562,0.00388342373668792
242.5,20.2617797851562,0.00638962463363928
243.75,20.2617797851562,0.00766025950004859
245,20.2617797851562,0.00692917138417265
246.25,20.2617797851562,0.00451088781049295
247.5,20.2617797851562,0.00246554105304282
248.75,20.2617797851562,0.00161109857702594
250,20.2617797851562,0.00180415144144222
160,21.2041854858398,-0.00982602086036715
161.25,21.2041854858398,-0.00798440000633067
162.5,21.2041854858398,-0.00578563178757046
163.75,21.2041854858398,-0.0035205648075598
165,21.2041854858398,-0.00111558300222549
166.25,21.2041854858398,0.0016499157816592
167.5,21.2041854858398,0.00464090846790344
168.75,21.2041854858398,0.00765266700916979
170,21.2041854858398,0.00964674617145363
171.25,21.2041854858398,0.0108422809443716
172.5,21.2041854858398,0.011644866893237
173.75,21.2041854858398,0.0118106977177596
175,21.2041854858398,0.0113391786665671
176.25,21.2041854858398,0.0103221058991734
177.5,21.2041854858398,0.00886641520906265
178.75,21.2041854858398,0.0071373424005021
180,21.2041854858398,0.00545985602861262
181.25,21.2041854858398,0.00465736694425009
182.5,21.2041854858398,0.00442675338985972
183.75,21.2041854858398,0.00452757181070618
185,21.2041854858398,0.00571960552208356
186.25,21.2041854858398,0.00788026039305101
187.5,21.2041854858398,0.0100917006338169
188.75,21.2041854858398,0.0117223185802823
190,21.2041854858398,0.0127269749117721
191.25,21.2041854858398,0.0137733827167934
192.5,21.2041854858398,0.0150088018484584
193.75,21.2041854858398,0.0152858021479138
195,21.2041854858398,0.0152133864480411
196.25,21.2041854858398,0.0166193211225245
197.5,21.2041854858398,0.0193220014293047
198.75,21.2041854858398,0.0215937456900058
200,21.2041854858398,0.0226804873343393
201.25,21.2041854858398,0.0236294985354223
202.5,21.2041854858398,0.0238800981631866
203.75,21.2041854858398,0.0230583915655438
205,21.2041854858398,0.0212834403517041
206.25,21.2041854858398,0.0171916725865636
207.5,21.2041854858398,0.0131395376934333
208.75,21.2041854858398,0.00917380094539346
210,21.2041854858398,0.00467173152887758
211.25,21.2041854858398,-0.000289548259034284
212.5,21.2041854858398,-0.00521869011538473
213.75,21.2041854858398,-0.00963474673585413
215,21.2041854858398,-0.0131767814915685
216.25,21.2041854858398,-0.0149139455357199
217.5,21.2041854858398,-0.0154988281146207
218.75,21.2041854858398,-0.0157136943213096
220,21.2041854858398,-0.0158995648303341
221.25,21.2041854858398,-0.0160498744835539
222.5,21.2041854858398,-0.0160056648390274
223.75,21.2041854858398,-0.0152392862126815
225,21.2041854858398,-0.0137001494025295
226.25,21.2041854858398,-0.0108985615290705
227.5,21.2041854858398,-0.00792484281692247
228.75,21.2041854858398,-0.0050475693984535
230,21.2041854858398,-0.00164226491197041
231.25,21.2041854858398,0.00211932196448423
232.5,21.2041854858398,0.00493883734721893
233.75,21.2041854858398,0.00603869325883575
235,21.2041854858398,0.00555448131940003
236.25,21.2041854858398,0.00390703345106117
237.5,21.2041854858398,0.00211763949463237
238.75,21.2041854858398,0.00218726073446698
240,21.2041854858398,0.00375809972700088
241.25,21.2041854858398,0.00586854948383445
242.5,21.2041854858398,0.00743308427794527
243.75,21.2041854858398,0.00627991550388939
245,21.2041854858398,0.00350989374612335
246.25,21.2041854858398,6.00719124364855e-05
247.5,21.2041854858398,-0.00335149061290914
248.75,21.2041854858398,-0.00498024237158842
250,21.2041854858398,-0.00477324255809304
160,22.146598815918,-0.0131705019676568
161.25,22.146598815918,-0.011579485487099
162.5,22.146598815918,-0.00950697836345477
163.75,22.146598815918,-0.00705601389734194
165,22.146598815918,-0.00445787400128111
166.25,22.146598815918,-0.00161599306886123
167.5,22.146598815918,0.00167129948020235
168.75,22.146598815918,0.00518208794055812
170,22.146598815918,0.00793933103287527
171.25,22.146598815918,0.0102273115556066
172.5,22.146598815918,0.011953302507138
173.75,22.146598815918,0.0129610761842608
175,22.146598815918,0.0133269831016283
176.25,22.146598815918,0.0129832575394636
177.5,22.146598815918,0.0119674496290198
178.75,22.146598815918,0.0102542118261536
180,22.146598815918,0.00806744926273011
181.25,22.146598815918,0.00603654933792015
182.5,22.146598815918,0.00477976999559015
183.75,22.146598815918,0.00425345300735897
185,22.146598815918,0.00500111720294242
186.25,22.146598815918,0.00677717038880318
187.5,22.146598815918,0.0088301800833562
188.75,22.146598815918,0.0107826742415951
190,22.146598815918,0.0126539784800891
191.25,22.146598815918,0.0143152416279472
