"year","GOA.ar1","EBS.ar1","member","model"
2012,0.508924932392925,0.209070455931694,"LE2-1031.002","FCM"
2013,0.596396849814718,0.355039162860331,"LE2-1031.002","FCM"
2014,0.555326343182281,0.382097657511147,"LE2-1031.002","FCM"
1964,0.463633219587705,0.154760067677549,"LE2-1051.003","FCM"
1965,0.304311878034739,0.0499338349931944,"LE2-1051.003","FCM"
1966,0.341275470182911,0.0121782991438647,"LE2-1051.003","FCM"
1967,0.34687648559253,0.014213160966435,"LE2-1051.003","FCM"
1968,0.346974415862479,-0.0445989529871769,"LE2-1051.003","FCM"
1969,0.33786981178752,-0.107465917049438,"LE2-1051.003","FCM"
1970,0.202719722156401,0.0700530999644037,"LE2-1051.003","FCM"
1971,0.240884611676741,0.000884496173492127,"LE2-1051.003","FCM"
1972,0.000301490925853716,-0.128254793389557,"LE2-1051.003","FCM"
1973,0.095544929279743,-0.0277086419334474,"LE2-1051.003","FCM"
