"lon","lat","beta","pval"
111,21,0.0627462122580884,0.0210491833149787
113,21,0.000970780299720683,0.969187467323602
113,23,0.00789348777830255,0.819552627377896
115,21,0.00678874279367103,0.841404580359373
115,23,-0.0192965295473371,0.522375436330057
117,21,-0.0183518731310245,0.556366833135761
117,23,0.0245876358528112,0.473609749066098
117,25,0.0679825372396343,0.0410984054986829
117,39,-0.0293890849731458,0.399689073768775
119,21,0.00374917265277567,0.901873720812985
119,23,0.0207280849971696,0.500514866451771
119,25,-0.0590473436389505,0.0422952368044791
119,27,0.037176285206971,0.244812408588727
119,35,-0.00462655681466976,0.883652975726434
119,37,0.00397393018950022,0.891691360361845
119,39,0.00261991476466628,0.924082764450342
121,21,0.0155196198048922,0.647513100609737
121,23,0.00967674139071383,0.721890689856795
121,25,0.0116973803807467,0.744198762854518
121,27,0.0126169290238909,0.662362557843523
121,29,0.00430355258210921,0.887481184535306
121,31,0.0526818434459553,0.105008509217899
121,33,-0.00971508736357891,0.717597408667568
121,35,0.0335562129132881,0.356943767861165
121,37,0.0845233379902049,0.00152389491723486
121,39,0.0508462083174198,0.056744366177551
121,41,0.088192147933442,0.101705803904856
123,21,-0.0129520560669605,0.64234144532242
123,23,0.0506267327843472,0.108856461631915
123,25,0.0260501682861345,0.453878110053552
123,27,0.0401463815305356,0.215819764229532
123,29,0.0167851190256096,0.581544395302664
123,31,0.0165456537154134,0.59737884944201
123,33,0.00970148903652806,0.754430503980658
123,35,0.0478687390043132,0.0486873227243129
123,37,0.0723820190313097,0.0132833567407735
123,39,0.00588767920053862,0.831787025711543
123,41,0.140002069163121,0.00929830956825897
125,21,0.00338537758155461,0.904007092730804
125,23,0.0215536937857633,0.519784375077346
125,25,0.0336184235554387,0.295012677208397
125,27,0.00438142869901279,0.889990288797346
125,29,0.02799861808319,0.397471934461093
125,31,0.0614183909283462,0.0285493741891768
125,33,0.0325158392026066,0.221821072619679
125,35,-0.00352410965887012,0.919081846866182
125,37,-0.00390972506284864,0.866421161928399
125,39,0.0378069984879984,0.19614634923742
127,21,-0.0122668775823501,0.659411472226236
127,23,-0.0132184781439639,0.663995784327965
127,25,-0.00676040775623502,0.80336510477883
127,27,0.0342610417664806,0.251507496930191
127,29,0.0395615800844138,0.245006651784888
127,31,0.0252370390324518,0.437007404832576
127,33,0.028612557502712,0.399855969012553
127,35,-0.0210512346910025,0.49679477766899
127,37,0.0206914629559557,0.530952354452346
127,39,0.0209175452132284,0.486394806365863
129,21,-0.0139834723559441,0.594096237656994
129,23,0.00154674755038943,0.963394233996441
129,25,-0.0110919413041729,0.698656365759674
129,27,0.0163703669253262,0.534052460159164
129,29,0.0269529665892408,0.380580645617512
129,31,-0.0156700039247032,0.625704871115772
129,33,-0.0278470721065079,0.362476486469977
129,35,0.00149383598908865,0.963009762972309
129,37,0.00493306189771522,0.858422397232355
129,39,0.0180480212041948,0.619909231530144
129,41,0.0172975574786061,0.547604151271713
131,21,0.015549016173831,0.485437932497407
131,23,-0.0361937104966581,0.225230429582803
131,25,0.0111255169039127,0.664288841111834
131,27,-0.0130540818993904,0.616085889307768
131,29,-0.0135362209204671,0.629903565094773
131,31,-0.0267795006853197,0.338461633649357
131,33,-0.0172326359557598,0.626849730464564
131,35,0.0160077703763615,0.57770505188395
131,37,-0.0552173259380174,0.0628411150455306
131,39,0.0348364054206402,0.326921052363145
131,41,0.0106559049636928,0.692179949527256
131,43,-0.024460975691656,0.421209187898234
133,21,0.0114649005635747,0.683315957130644
133,23,-0.0688121539581164,0.0142569690387562
133,25,-0.0158169003290163,0.563937942789188
133,27,-0.0116075970490777,0.631105316812706
133,29,0.0328180606948228,0.183668025439994
133,31,-0.016258791748015,0.473910196756631
133,33,-0.0285611406005142,0.346255112342987
133,35,0.0103369187671066,0.729921302685187
133,37,-0.00796306378194098,0.749994851901919
133,39,0.00284080060872622,0.933737317596447
133,41,0.0386473588727686,0.157829804144031
133,43,0.0053331534391179,0.891187853472461
135,21,-0.0166976119133257,0.588933653460426
135,23,-0.0204861427125349,0.406800006528814
135,25,-0.0296671841310491,0.306669605079435
135,27,-0.0114881486732576,0.681195379228927
135,29,-0.00517400584874434,0.866534917313192
135,31,0.00470575394835519,0.88150771616679
135,33,-0.0409874921533696,0.206547649175361
135,35,0.0133707757467344,0.645509660238587
135,37,0.0229439669220432,0.459400732953009
135,39,0.00463495204331689,0.878313449130612
135,41,0.0315910959783131,0.282317624309749
135,43,0.0150828984242064,0.720334285979098
135,45,-0.0166302201912957,0.578259116100417
135,55,0.0131155916265923,0.626999412111356
137,21,-0.00384820551091608,0.907317453144376
137,23,0.0142683205140492,0.601305955839612
137,25,0.0149548993573082,0.594992057804735
137,27,0.00341633357991952,0.909920063530812
137,29,0.0315446737480463,0.185903662978817
137,31,-0.0189271083819314,0.552739150799619
137,33,-0.0230704440229583,0.362635483265135
137,35,0.0251068591991679,0.409218608397019
137,37,-0.0211884006333551,0.411183991231245
137,39,-0.0207830940887954,0.51695441880264
137,41,0.0195873161113682,0.572352146467867
137,43,-0.00711810980565773,0.731751661377727
137,45,-0.0108435695171562,0.804004510898432
137,47,0.0290262480392128,0.27533393073764
137,53,-0.000989270408172372,0.97065159828957
137,55,-0.0187899745226725,0.442289792559379
137,57,0.0463860543324209,0.182859327539566
139,21,0.0119286698413421,0.680417907050273
139,23,0.0114793816671194,0.643071635624566
139,25,-0.00240441396063893,0.928839659484493
139,27,-0.020193798727579,0.437842164816608
139,29,0.0361399198137782,0.108649930433496
139,31,-0.00933339798270588,0.733933435600768
139,33,-0.0268293930436816,0.28267267742603
139,35,0.0122254368886732,0.70141077809314
139,37,-0.00944470238347291,0.785679547719062
139,39,-0.0302896334029874,0.400014254543802
139,41,0.00943275308506853,0.730412338311874
139,43,0.0344226388136128,0.427933906576652
139,45,0.0551534983181846,0.147276436581664
139,47,0.0360138094302073,0.392992954705518
139,49,0.0262856918589616,0.453839291226348
139,53,-0.00604985879813601,0.838468586986094
139,55,0.0133142951526366,0.656014664894548
139,57,0.00580393178345131,0.847276402357828
141,21,0.0640023250445869,0.0134644249102364
141,23,0.0373667430247458,0.167489784961686
141,25,0.0100245648808513,0.761897774398105
141,27,-0.0366098222684534,0.126402214052681
141,29,0.031345204128828,0.286970202412017
141,31,0.00270489471994327,0.924429321674896
141,33,-0.0166352554821166,0.0591966619852732
141,35,-0.00898305987358992,0.796694650315282
141,37,0.00168578030369839,0.965569136707192
141,39,-0.0237890900105234,0.465103094684613
141,41,-0.0291584350326824,0.273704032477066
141,43,0.000789411156000682,0.976510872260928
141,45,-0.0379675362187596,0.30010843346732
141,47,0.028607798888424,0.512900341222373
141,49,0.0405279386345162,0.158138348639735
141,51,0.0778712214565356,0.0293232926126377
141,53,-0.00781008365412911,0.802020303262377
141,55,0.0414218968002669,0.307033863753502
141,57,0.0711579443857169,0.0249001576910063
141,59,-0.00734242195249415,0.794232905209581
143,21,0.00991361047062753,0.743631932522058
143,23,0.00688317775105272,0.800834348974587
143,25,0.0254275117573774,0.416236929435704
143,27,-0.0426351282579687,0.129268682454003
143,29,0.00335675190631283,0.897976720403151
143,31,-0.00472204887083671,0.8753921891559
143,33,0.00583847728725526,0.723275660158218
143,35,-0.0246265112128349,0.412890060264723
143,37,-0.00285668578079785,0.939854512377925
143,39,0.00613385676129943,0.818670520494061
143,41,-0.0350980390016878,0.181751389043216
143,43,0.0213408587796212,0.488678219306689
143,45,0.00768768886322713,0.782099977252452
143,47,0.0146165165950908,0.660486921335953
143,49,0.036919343924652,0.208802962373408
143,51,0.00196940058822157,0.937668717978929
143,53,0.0211736417892107,0.460264222986703
143,55,0.0430105197162791,0.160246946647279
143,57,0.0482022978753849,0.171635504800292
143,59,0.0280654902765207,0.398087856786156
145,21,-0.00220206135261466,0.936542626368456
145,23,-0.0387249780037329,0.0613991877668943
145,25,0.0245232676125268,0.308636021695258
145,27,0.0118237004049059,0.722728158047777
145,29,0.0228620365860489,0.462811247877885
145,31,0.0239483182616962,0.431751680340152
145,33,0.0356975922304679,0.193419719617232
145,35,-0.00376267195134791,0.904065010444187
145,37,-0.00909584775725949,0.788228590158622
145,39,0.012176210348718,0.713164188482084
145,41,-0.0268442848313632,0.417233091492992
145,43,0.106692954140232,0.00424604135462357
145,45,0.0295947941122673,0.343355853914998
145,47,0.0577502932278198,0.0804817836061053
145,49,0.0522396885442559,0.185211670590729
145,51,0.0559327676729193,0.130118315115099
145,53,0.0501170085777969,0.0732805402242462
145,55,0.0268498324979028,0.362799783822243
145,57,0.026993117497785,0.38149524513067
145,59,0.0401870923286398,0.315300585663062
147,21,-0.00447999581962921,0.875897137396305
147,23,-0.0597156251138078,0.0460110498317891
147,25,0.0526822305533303,0.0546243430071829
147,27,0.0450132673369547,0.0997830713770562
147,29,0.0595826109854296,0.0589410793107911
147,31,0.0249026692101334,0.26931873212979
147,33,0.0264453007371326,0.353677723511621
147,35,-0.079040059766254,0.0159470210149594
147,37,-0.0357583607211876,0.272928190957978
147,39,0.00696381390305634,0.829788519123478
147,41,-0.0346583356026571,0.243157654050091
147,43,-0.0051938712416829,0.878201715831508
147,45,0.045696446065957,0.245601430548211
147,47,0.0591239799232212,0.14678424142401
147,49,0.0794320758052484,0.0345036510210127
147,51,0.0364321505723058,0.189248428844393
147,53,0.0549170909748334,0.0605924900665748
147,55,-0.00890623526525417,0.732367140386274
147,57,0.0337229272101449,0.298328553093913
147,59,0.0113508538580711,0.768822294657048
149,21,-0.0101576022927616,0.737010217008319
149,23,-0.0282583325510565,0.371453452182561
149,25,0.0144281425493606,0.591038629015595
149,27,0.0529091759195736,0.0664302006345787
149,29,0.0301824220790878,0.222284040889121
149,31,0.0202267834446784,0.475095895597242
149,33,0.0237026717848123,0.436879495189657
149,35,-0.119617298087571,0.0013733298456081
149,37,-0.0169855735663383,0.615573857235916
149,39,-0.0393240825353134,0.183852999898663
149,41,-0.000501603945705891,0.983771853059766
149,43,-0.00136789119293913,0.962062885438444
149,45,0.0710758210985831,0.0536279405227531
149,47,0.0419784273818845,0.224369316466172
149,49,0.0741630332141354,0.0175144244013927
149,51,0.0397592392119014,0.118646658802561
149,53,0.0481531183963445,0.105188814320167
149,55,-0.0328376678679258,0.279862586589899
149,57,-0.0361841790464246,0.255842201422442
149,59,-0.0376524217260296,0.359844272347849
151,21,-0.0490966422906005,0.0727225024399385
151,23,-0.0674754616330089,0.00965375457628859
151,25,0.00463592540936904,0.856879815143133
151,27,0.0272055539514108,0.351385819191923
151,29,0.0216322318107367,0.432845018727531
151,31,0.00191651340505105,0.948490528202699
151,33,0.00854269248940852,0.780426542870331
151,35,-0.0126456284879788,0.58891393650306
151,37,-0.0406309662294584,0.197533755616788
151,39,0.0118746692866636,0.703077852333348
