"lon","lat","beta","pval"
180.5,66,0.0268022040804181,0.428548251350653
180.75,66,0.0387426510044714,0.254668586634371
190,66,-0.0128506172006352,0.676936755477048
190.25,66,-0.00881023869714135,0.778130976536931
190.5,66,-0.00514836141317933,0.869896990152329
190.75,66,0.00210080890231336,0.946264555578802
191,66,0.0177049106595509,0.56165202870691
191.25,66,0.0308926105071291,0.313108613814715
191.5,66,0.0391277991759636,0.203194592072531
191.75,66,0.0450171089397703,0.142136329535314
192,66,0.0495911942979603,0.107976593452618
192.25,66,0.0531044882463424,0.0979013007823886
192.5,66,0.0559677444266274,0.0944827166773165
192.75,66,0.0575424311875783,0.095164128978832
238,66,0.0194067821989106,0.39733318933716
238.25,66,0.0223776701655685,0.345865104143443
238.5,66,0.0222196568309605,0.359534110656514
238.75,66,0.0188680919846243,0.429240624015843
239,66,0.0200540036418539,0.403309976767842
239.25,66,0.0201889095125483,0.402724320526449
239.5,66,0.0186407871918351,0.444076550895863
239.75,66,0.0163804773706152,0.509115670929466
240,66,0.0158183747097484,0.533345836059633
240.25,66,0.0144649267300121,0.570450307158501
240.5,66,0.0124534641962991,0.628532790831089
240.75,66,0.0104706867926246,0.686394145686507
241,66,0.0090062144666661,0.728315280607872
241.25,66,0.00881227177589554,0.737808067645621
241.5,66,0.0089437860499955,0.736737166562077
241.75,66,0.00924187914505906,0.730228549040165
180.5,65.75,-0.00805498332177183,0.794891093666184
180.75,65.75,-0.0128069235703191,0.684676606429718
181,65.75,-0.017386797867891,0.592733679335387
181.25,65.75,-0.0176425421424521,0.589153181529946
189.5,65.75,-0.00670725948871648,0.814013035819959
189.75,65.75,-0.00455953494223967,0.876322328030838
190,65.75,0.00168068497215256,0.955542139700573
190.25,65.75,0.0107184988851922,0.723254155454046
190.5,65.75,0.0144696933102643,0.634848655058453
190.75,65.75,0.018238321750296,0.545887275051282
191,65.75,0.0251651921830423,0.394539759422471
191.25,65.75,0.0355607844428673,0.239269049186943
191.5,65.75,0.0379270126180177,0.212462333646647
191.75,65.75,0.0406381376884626,0.180856288300532
192,65.75,0.0443287490466591,0.144866283248817
192.75,65.75,0.0542008414659495,0.113591356488904
238,65.75,0.0150245006049406,0.521131268210589
238.25,65.75,0.0157921212944156,0.505936852541255
238.5,65.75,0.0192573407191389,0.42414322498278
238.75,65.75,0.0235557099299051,0.336743680196728
239,65.75,0.0236701490740687,0.336088313304426
