"","month.anom","Year","Month"
"1",0.635622267146606,1854,1
"2",0.524020991272243,1854,2
"3",0.652824836715476,1854,3
"4",0.603087877111357,1854,4
"5",0.541716088427964,1854,5
"6",0.548839061036677,1854,6
"7",0.5494416934684,1854,7
"8",0.792882095449464,1854,8
"9",0.725735269723186,1854,9
"10",0.406606926787355,1854,10
"11",0.293322560563202,1854,11
"12",0.303216651215181,1854,12
"13",0.315249419607473,1855,1
"14",0.219902957507882,1855,2
"15",0.204782148125241,1855,3
"16",0.323485225968596,1855,4
"17",0.353935887860824,1855,5
"18",0.370545906317388,1855,6
"19",0.0488575480854996,1855,7
"20",0.309652853080373,1855,8
"21",0.411940180869455,1855,9
"22",0.406183247474215,1855,10
"23",0.388976986844863,1855,11
"24",-0.117637071567264,1855,12
"25",0.317072206962089,1856,1
"26",0.445159873053658,1856,2
"27",0.626864662563975,1856,3
"28",0.507158867792594,1856,4
"29",0.271487284414549,1856,5
"30",0.28773738151939,1856,6
"31",0.090919997372107,1856,7
"32",0.575510695605878,1856,8
"33",0.689994315442875,1856,9
"34",0.778437889501885,1856,10
"35",0.41327582147693,1856,11
"36",0.317690568051176,1856,12
"37",0.675891362123678,1857,1
"38",0.255125142346926,1857,2
"39",0.0555603058617734,1857,3
"40",0.183639750206397,1857,4
"41",0.464953101220535,1857,5
"42",0.633575980970394,1857,6
"43",0.712691914339272,1857,7
"44",0.50813623899012,1857,8
"45",0.309286948704038,1857,9
"46",0.48071049211942,1857,10
"47",0.650150827735211,1857,11
"48",0.563238490680347,1857,12
"49",0.477142152468104,1858,1
"50",0.327691696517308,1858,2
"51",0.243307366686563,1858,3
"52",0.0961676809038601,1858,4
"53",0.453566044162139,1858,5
"54",0.859477430046696,1858,6
"55",0.683360044506219,1858,7
"56",1.05752290702673,1858,8
"57",0.482252579813049,1858,9
"58",0.708262741071395,1858,10
"59",0.638295931228468,1858,11
"60",0.498610758628685,1858,12
"61",0.619660575214038,1859,1
"62",0.492352957140101,1859,2
"63",0.21645956836739,1859,3
"64",-0.221895462678794,1859,4
"65",-0.226974050174804,1859,5
"66",-0.01753930001585,1859,6
"67",0.370339422125611,1859,7
"68",0.150980585984647,1859,8
"69",0.180351613373285,1859,9
"70",0.313931867206041,1859,10
"71",0.377314320512872,1859,11
"72",0.505781980898015,1859,12
"73",0.480691415141651,1860,1
"74",0.473949891766827,1860,2
"75",0.526266227109405,1860,3
"76",0.346652051363129,1860,4
"77",0.266923318771791,1860,5
"78",-0.323213478888475,1860,6
"79",-2.29563266470069,1860,7
"80",-2.20957433632935,1860,8
"81",-0.317766558279943,1860,9
"82",-0.0834030392918926,1860,10
"83",0.11226910353507,1860,11
"84",0.226246684299602,1860,12
"85",0.270743901216452,1861,1
"86",0.300957056760632,1861,2
"87",0.339749643715749,1861,3
"88",0.304237563231338,1861,4
"89",0.475630639293292,1861,5
"90",0.397046489037074,1861,6
"91",0.24415081395046,1861,7
"92",0.201203046767281,1861,8
"93",0.148004640860711,1861,9
"94",0.172121659087148,1861,10
"95",0.222316890535168,1861,11
"96",0.338624444074786,1861,12
"97",0.317241602091466,1862,1
"98",0.329023161501627,1862,2
"99",0.385873469273397,1862,3
"100",0.303683962637378,1862,4
"101",0.462885798792938,1862,5
"102",0.396232331921492,1862,6
"103",0.247688987996377,1862,7
"104",0.204465795524209,1862,8
"105",0.0870193875238681,1862,9
"106",0.177781986539623,1862,10
"107",0.283232434088584,1862,11
"108",0.475985885912285,1862,12
"109",0.396602580422515,1863,1
"110",0.343670245807536,1863,2
"111",0.381764288353689,1863,3
"112",0.279251366552308,1863,4
"113",0.426975620875148,1863,5
"114",0.377215683377368,1863,6
"115",0.173136473585634,1863,7
"116",0.121320716986747,1863,8
"117",0.107711446623336,1863,9
"118",0.161033952971802,1863,10
"119",0.217466960802931,1863,11
"120",0.320006266406466,1863,12
"121",0.31547121630222,1864,1
"122",0.315975864578075,1864,2
"123",0.35148596154926,1864,3
"124",0.245176568546023,1864,4
"125",0.37738563535659,1864,5
"126",0.3404613559737,1864,6
"127",0.210306884609832,1864,7
"128",0.0803071867917812,1864,8
"129",0.0396847389713079,1864,9
"130",0.135904780726798,1864,10
"131",0.280370656155424,1864,11
"132",0.294635799010374,1864,12
"133",0.247007788009428,1865,1
"134",0.328557587042119,1865,2
"135",0.365106730321573,1865,3
"136",0.251056054502818,1865,4
"137",0.363726747262581,1865,5
"138",0.295732808211224,1865,6
"139",0.130771567020219,1865,7
"140",0.07862146464523,1865,8
"141",0.0366364235471157,1865,9
"142",0.0742166694187637,1865,10
"143",0.0797894796021346,1865,11
"144",0.0405057435074628,1865,12
"145",-0.311822011064972,1866,1
"146",-0.220359902592995,1866,2
"147",-0.0962062560447598,1866,3
"148",0.0103802982580563,1866,4
"149",0.122712459311175,1866,5
"150",0.0423204172507188,1866,6
"151",-0.109265230671934,1866,7
"152",-0.00202475913069452,1866,8
"153",-0.0952133206304733,1866,9
"154",-0.0469954182567235,1866,10
"155",0.0433969990393661,1866,11
"156",0.125485654292994,1866,12
"157",0.192039570008977,1867,1
"158",0.212045743707634,1867,2
"159",0.28320830193808,1867,3
