"","Year","mean.anom"
"1",1854,0.622445631752235
"2",1855,0.847662274140396
"3",1856,0.570068247044927
"4",1857,0.527250396055303
"5",1858,0.614068574106854
"6",1859,0.264588218516475
"7",1860,0.390943999772927
"8",1861,0.325964906327156
"9",1862,0.442010544893123
"10",1863,0.887679317667537
"11",1864,0.548213020681542
"12",1865,0.553714311484447
"13",1866,0.179784071363798
"14",1867,0.490948965169078
"15",1868,0.477372537352839
"16",1869,0.472903635679991
"17",1870,0.509490650302051
"18",1871,0.56812250998498
"19",1872,0.335719314276192
"20",1873,-0.136422082805147
"21",1874,-0.0785498796237576
"22",1875,0.177011706515322
"23",1876,0.206324534164966
"24",1877,0.604030988172179
"25",1878,1.04096432095248
"26",1879,-0.35120405759822
"27",1880,0.604362809873627
"28",1881,-0.618783712253489
"29",1882,-0.167467420338542
"30",1883,0.391867947548067
"31",1884,1.05197616009604
"32",1885,1.92447096342826
"33",1886,-0.801111281194424
"34",1887,-1.45487223791058
"35",1888,-1.00824295615382
"36",1889,0.682226494064586
"37",1890,0.0308311864561624
"38",1891,-1.02991886568777
"39",1892,-0.431233582036608
"40",1893,-0.91141865699705
"41",1894,-0.29584150082429
"42",1895,-0.10712559035595
"43",1896,0.665598104926935
"44",1897,-0.457014897108516
"45",1898,0.0520103445601631
"46",1899,0.620407745435349
"47",1900,-0.263840054361038
"48",1901,0.0366491555557202
"49",1902,-0.710605905777004
"50",1903,1.15660867885284
"51",1904,-1.60014302797382
"52",1905,-0.121022356306688
"53",1906,0.276971912274334
"54",1907,-0.844569315885274
"55",1908,-0.77750912534741
"56",1909,-1.65035038860801
"57",1910,-1.64016339461422
"58",1911,-2.01148477989196
"59",1912,-0.157408480089835
"60",1913,1.35389658216554
"61",1914,-0.341055895386029
"62",1915,0.704550819199687
"63",1916,-0.76783845734346
"64",1917,-0.76320096933481
"65",1918,-1.32046525659957
"66",1919,-1.24731748402259
"67",1920,-0.307115721515032
"68",1921,0.00161820805153221
"69",1922,-0.682091474509497
"70",1923,-0.102281197331766
"71",1924,-0.1930171317724
"72",1925,-0.776606829099776
"73",1926,0.966129441390445
"74",1927,1.14511218646461
"75",1928,-0.363300992249125
"76",1929,0.4139758592218
"77",1930,0.480181968663594
"78",1931,0.251367184257083
"79",1932,-0.138480735621349
"80",1933,0.345716820546695
"81",1934,0.107041623860419
"82",1935,0.281200184285665
"83",1936,0.871028628092147
"84",1937,0.681603902636581
"85",1938,0.0976333800352872
"86",1939,-0.211217894262506
"87",1940,0.123280634294989
"88",1941,1.19458071345757
"89",1942,1.40142547994906
"90",1943,-0.19157819737104
"91",1944,0.248238321171604
"92",1945,0.627671253986672
"93",1946,-0.336663799351372
"94",1947,-0.426725962164985
"95",1948,-1.24194386649679
"96",1949,-1.35316059122017
"97",1950,-0.250790140227489
"98",1951,-0.182682689578596
"99",1952,-0.23457498505004
"100",1953,0.0903784000621228
"101",1954,-0.140250466518978
"102",1955,0.651199121755639
"103",1956,-0.166394159161926
"104",1957,-0.421594774678842
"105",1958,1.20897854743417
"106",1959,0.397089803821573
"107",1960,0.475589352463797
"108",1961,0.0923484015517621
"109",1962,-0.099099854632693
"110",1963,0.493078176816574
"111",1964,0.651127991724667
"112",1965,-0.752826568825004
"113",1966,-0.181815704403528
"114",1967,-0.374727947476059
"115",1968,0.00602624475090685
"116",1969,-0.91770557764837
"117",1970,0.395406229269204
"118",1971,-0.292583719186629
"119",1972,-1.24420600561724
"120",1973,-0.755516907846802
"121",1974,-0.747051412313488
"122",1975,-0.43841087419428
"123",1976,-0.704548270120575
"124",1977,0.266585427552854
"125",1978,-0.463001144525988
"126",1979,-0.0278270995509599
"127",1980,0.14506804614456
"128",1981,0.183555420122662
"129",1982,0.0869265550732205
"130",1983,0.284748064106864
"131",1984,0.609455110085736
"132",1985,0.52854383814265
"133",1986,-0.293635458822999
"134",1987,0.814603628647756
"135",1988,0.477238315194754
"136",1989,-0.274167367234264
"137",1990,-0.237223117772967
"138",1991,-0.539383946979975
"139",1992,0.107181285431706
"140",1993,-0.200697611695872
"141",1994,0.424138092173088
"142",1995,-0.664705386126162
"143",1996,-0.459577895196377
"144",1997,-0.574145249870767
"145",1998,0.739588692266958
"146",1999,0.187517736749543
"147",2000,-0.516893542765138
"148",2001,0.0481479417689017
"149",2002,-0.616954389517926
"150",2003,1.09896293216877
"151",2004,-0.0747200577706253
"152",2005,-0.0940405801465051
"153",2006,-0.206367203321483
"154",2007,-0.781263056749507
"155",2008,-0.78832097394956
"156",2009,-0.845743252536923
"157",2010,-0.0224025624829468
"158",2011,0.0138847253061162
"159",2012,-0.893986107493644
"160",2013,-0.219615853044572
"161",2014,0.136012068368019
"162",2015,1.13448597733175
"163",2016,0.890171860468361
"164",2017,0.724215026879306
"165",2018,0.186354285398775
"166",2019,1.12937100983103
"167",2020,0.612048114366664
"168",2021,0.0516273948634131
"169",2022,-0.622872198938858
"170",2023,-0.149641877180032
"171",2024,0.404361150812889
