"year","AL.anom","member","model"
1959,-294.643493339315,"LE2-1011.001","FCM"
1960,266.316062850074,"LE2-1011.001","FCM"
1961,616.208487910049,"LE2-1011.001","FCM"
1962,-522.027859497312,"LE2-1011.001","FCM"
1963,-371.56171072656,"LE2-1011.001","FCM"
1964,-62.4895148663054,"LE2-1011.001","FCM"
1965,374.069070978076,"LE2-1011.001","FCM"
1966,13.0522607348252,"LE2-1011.001","FCM"
1967,-188.354853709711,"LE2-1011.001","FCM"
1968,344.966174414178,"LE2-1011.001","FCM"
1969,-72.221316390769,"LE2-1011.001","FCM"
1970,-219.394152787271,"LE2-1011.001","FCM"
1971,874.73322110219,"LE2-1011.001","FCM"
1972,-24.136949781752,"LE2-1011.001","FCM"
1973,-1216.1417126176,"LE2-1011.001","FCM"
1974,-182.250913191215,"LE2-1011.001","FCM"
1975,71.4924131693859,"LE2-1011.001","FCM"
1976,-1151.33990880849,"LE2-1011.001","FCM"
1977,614.471482280062,"LE2-1011.001","FCM"
1978,-452.50513070559,"LE2-1011.001","FCM"
1979,94.9886101975887,"LE2-1011.001","FCM"
1980,-510.71245389253,"LE2-1011.001","FCM"
1981,786.227815481965,"LE2-1011.001","FCM"
1982,196.606051610614,"LE2-1011.001","FCM"
1983,-242.97333666599,"LE2-1011.001","FCM"
1984,-990.978976061311,"LE2-1011.001","FCM"
1985,-237.678381528463,"LE2-1011.001","FCM"
1986,-373.08912072746,"LE2-1011.001","FCM"
1987,-24.052349357667,"LE2-1011.001","FCM"
1988,-389.695562151446,"LE2-1011.001","FCM"
1989,213.639761926354,"LE2-1011.001","FCM"
1990,-505.81722848408,"LE2-1011.001","FCM"
1991,540.073112763652,"LE2-1011.001","FCM"
1992,-354.217546895354,"LE2-1011.001","FCM"
1993,-447.544114851537,"LE2-1011.001","FCM"
1994,645.900299323332,"LE2-1011.001","FCM"
1995,580.681444159024,"LE2-1011.001","FCM"
1996,-65.9322635766125,"LE2-1011.001","FCM"
1997,-542.743056164438,"LE2-1011.001","FCM"
1998,-723.94370558495,"LE2-1011.001","FCM"
1999,-1324.14891202288,"LE2-1011.001","FCM"
2000,843.111362108792,"LE2-1011.001","FCM"
2001,744.283122762584,"LE2-1011.001","FCM"
2002,286.381802227055,"LE2-1011.001","FCM"
2003,-3.20285252424596,"LE2-1011.001","FCM"
2004,453.550336568009,"LE2-1011.001","FCM"
2005,-366.226506019881,"LE2-1011.001","FCM"
2006,419.594792111466,"LE2-1011.001","FCM"
2007,144.272993562183,"LE2-1011.001","FCM"
2008,-492.784456142016,"LE2-1011.001","FCM"
2009,-387.164492633116,"LE2-1011.001","FCM"
2010,-361.163503082188,"LE2-1011.001","FCM"
2011,345.984133918804,"LE2-1011.001","FCM"
2012,-551.901520668178,"LE2-1011.001","FCM"
2013,-429.707049466487,"LE2-1011.001","FCM"
2014,137.029289687919,"LE2-1011.001","FCM"
1851,724.296191861747,"LE2-1031.002","FCM"
1852,1067.80944757705,"LE2-1031.002","FCM"
1853,-1096.57941026539,"LE2-1031.002","FCM"
1854,453.09374297201,"LE2-1031.002","FCM"
1855,-434.837871459773,"LE2-1031.002","FCM"
1856,-642.314540029582,"LE2-1031.002","FCM"
1857,-178.956618635002,"LE2-1031.002","FCM"
1858,308.85777231652,"LE2-1031.002","FCM"
1859,888.714873275136,"LE2-1031.002","FCM"
1860,-149.372972807235,"LE2-1031.002","FCM"
1861,664.342461577055,"LE2-1031.002","FCM"
1862,582.998845603875,"LE2-1031.002","FCM"
1863,505.814759744418,"LE2-1031.002","FCM"
1864,-479.91401100878,"LE2-1031.002","FCM"
1865,-114.226742308263,"LE2-1031.002","FCM"
1866,912.46796150615,"LE2-1031.002","FCM"
1867,-416.839135042386,"LE2-1031.002","FCM"
1868,-890.359795920097,"LE2-1031.002","FCM"
1869,-448.36117738199,"LE2-1031.002","FCM"
1870,-504.804746509776,"LE2-1031.002","FCM"
1871,510.727491520067,"LE2-1031.002","FCM"
1872,-417.97887640566,"LE2-1031.002","FCM"
1873,-855.578775042851,"LE2-1031.002","FCM"
1874,-78.5722973086818,"LE2-1031.002","FCM"
1875,395.150119082573,"LE2-1031.002","FCM"
1876,376.727380584717,"LE2-1031.002","FCM"
1877,871.684451170587,"LE2-1031.002","FCM"
1878,-669.304699429401,"LE2-1031.002","FCM"
1879,-945.605281882655,"LE2-1031.002","FCM"
1880,-419.664378991016,"LE2-1031.002","FCM"
1881,-490.966292071018,"LE2-1031.002","FCM"
1882,762.479205124681,"LE2-1031.002","FCM"
1883,-774.623600261465,"LE2-1031.002","FCM"
1884,-1025.26427943844,"LE2-1031.002","FCM"
1885,622.277060773596,"LE2-1031.002","FCM"
1886,549.071295089277,"LE2-1031.002","FCM"
1887,139.209841302313,"LE2-1031.002","FCM"
1888,252.88686325994,"LE2-1031.002","FCM"
1889,-429.326593032531,"LE2-1031.002","FCM"
1890,-319.320437511152,"LE2-1031.002","FCM"
