"year","AL.sd","member","model"
1973,610.944369090909,"LE2-1051.003","FCM"
1974,616.137189599441,"LE2-1051.003","FCM"
1975,628.015277186716,"LE2-1051.003","FCM"
1976,633.409927372479,"LE2-1051.003","FCM"
1977,582.193526570399,"LE2-1051.003","FCM"
1978,582.406153757263,"LE2-1051.003","FCM"
1979,585.555267109766,"LE2-1051.003","FCM"
1980,562.863836694743,"LE2-1051.003","FCM"
1981,528.233469471355,"LE2-1051.003","FCM"
1982,531.715794618383,"LE2-1051.003","FCM"
1983,507.184903318728,"LE2-1051.003","FCM"
1984,542.404013031739,"LE2-1051.003","FCM"
1985,503.866757800581,"LE2-1051.003","FCM"
1986,591.357067904639,"LE2-1051.003","FCM"
1987,585.614066595487,"LE2-1051.003","FCM"
1988,560.7020445328,"LE2-1051.003","FCM"
1989,530.27652209194,"LE2-1051.003","FCM"
1990,513.966635913294,"LE2-1051.003","FCM"
1991,543.215927296153,"LE2-1051.003","FCM"
1992,567.289732381519,"LE2-1051.003","FCM"
1993,586.177135037032,"LE2-1051.003","FCM"
1994,627.406107387477,"LE2-1051.003","FCM"
1995,560.970120677747,"LE2-1051.003","FCM"
1996,592.585754750141,"LE2-1051.003","FCM"
1997,593.752518624444,"LE2-1051.003","FCM"
1998,609.793332543138,"LE2-1051.003","FCM"
1999,634.375298450105,"LE2-1051.003","FCM"
2000,651.886014374522,"LE2-1051.003","FCM"
2001,642.998244063093,"LE2-1051.003","FCM"
2002,667.511108955752,"LE2-1051.003","FCM"
2003,659.57395123073,"LE2-1051.003","FCM"
2004,654.924838026682,"LE2-1051.003","FCM"
2005,660.286276561053,"LE2-1051.003","FCM"
2006,659.328043803465,"LE2-1051.003","FCM"
2007,652.179836509593,"LE2-1051.003","FCM"
2008,633.507744211821,"LE2-1051.003","FCM"
2009,555.179889709018,"LE2-1051.003","FCM"
2010,610.998753110147,"LE2-1051.003","FCM"
2011,588.124423141762,"LE2-1051.003","FCM"
2012,596.597238034613,"LE2-1051.003","FCM"
2013,587.795905872249,"LE2-1051.003","FCM"
2014,685.029413102474,"LE2-1051.003","FCM"
1964,450.762645572266,"LE2-1071.004","FCM"
1965,413.534826244963,"LE2-1071.004","FCM"
1966,410.8266908235,"LE2-1071.004","FCM"
1967,410.037279050595,"LE2-1071.004","FCM"
1968,393.911176968169,"LE2-1071.004","FCM"
1969,467.203241631154,"LE2-1071.004","FCM"
1970,468.415928356033,"LE2-1071.004","FCM"
1971,477.842434499693,"LE2-1071.004","FCM"
1972,471.762173294061,"LE2-1071.004","FCM"
1973,561.608218790598,"LE2-1071.004","FCM"
1974,544.011629788661,"LE2-1071.004","FCM"
1975,672.034050835372,"LE2-1071.004","FCM"
1976,645.077088535295,"LE2-1071.004","FCM"
1977,674.589692539775,"LE2-1071.004","FCM"
1978,666.469565391823,"LE2-1071.004","FCM"
1979,693.643748229371,"LE2-1071.004","FCM"
1980,693.833234317504,"LE2-1071.004","FCM"
1981,720.722986347332,"LE2-1071.004","FCM"
1982,724.886738075895,"LE2-1071.004","FCM"
1983,726.913441499683,"LE2-1071.004","FCM"
1984,686.961906637252,"LE2-1071.004","FCM"
1985,686.228265400382,"LE2-1071.004","FCM"
1986,714.952318006382,"LE2-1071.004","FCM"
1987,766.68255908144,"LE2-1071.004","FCM"
1988,665.252590240707,"LE2-1071.004","FCM"
1989,710.15357527412,"LE2-1071.004","FCM"
1990,649.511453256525,"LE2-1071.004","FCM"
1991,622.78486693317,"LE2-1071.004","FCM"
1992,596.534242089808,"LE2-1071.004","FCM"
1993,592.518477371426,"LE2-1071.004","FCM"
1994,566.344444743362,"LE2-1071.004","FCM"
1995,612.86317073924,"LE2-1071.004","FCM"
1996,596.082614317849,"LE2-1071.004","FCM"
1997,629.216354775081,"LE2-1071.004","FCM"
1998,660.587923957319,"LE2-1071.004","FCM"
1999,662.537812664841,"LE2-1071.004","FCM"
2000,658.626520546766,"LE2-1071.004","FCM"
2001,677.673201352297,"LE2-1071.004","FCM"
2002,635.686327784848,"LE2-1071.004","FCM"
2003,650.796160055147,"LE2-1071.004","FCM"
2004,601.770904637659,"LE2-1071.004","FCM"
2005,561.005856029912,"LE2-1071.004","FCM"
2006,565.176596959627,"LE2-1071.004","FCM"
2007,566.416334796116,"LE2-1071.004","FCM"
2008,562.085389545969,"LE2-1071.004","FCM"
2009,516.452039088303,"LE2-1071.004","FCM"
2010,502.303990153043,"LE2-1071.004","FCM"
2011,456.839618106743,"LE2-1071.004","FCM"
2012,450.139873665483,"LE2-1071.004","FCM"
2013,437.819967636436,"LE2-1071.004","FCM"
2014,471.62336218402,"LE2-1071.004","FCM"
1964,520.560948211896,"LE2-1091.005","FCM"
1965,517.138411776518,"LE2-1091.005","FCM"
1966,515.690290152036,"LE2-1091.005","FCM"
1967,506.948918671234,"LE2-1091.005","FCM"
1968,496.218949754314,"LE2-1091.005","FCM"
1969,513.055659781581,"LE2-1091.005","FCM"
1970,498.456929541798,"LE2-1091.005","FCM"
1971,504.362696501394,"LE2-1091.005","FCM"
1972,528.577475510988,"LE2-1091.005","FCM"
1973,489.720739375922,"LE2-1091.005","FCM"
1974,475.077310304253,"LE2-1091.005","FCM"
1975,528.142408891426,"LE2-1091.005","FCM"
1976,522.912430883142,"LE2-1091.005","FCM"
1977,487.786306568364,"LE2-1091.005","FCM"
1978,500.462649574776,"LE2-1091.005","FCM"
1979,477.423540913223,"LE2-1091.005","FCM"
1980,483.938859590745,"LE2-1091.005","FCM"
1981,496.304155164121,"LE2-1091.005","FCM"
1982,593.466801341782,"LE2-1091.005","FCM"
1983,581.484820342522,"LE2-1091.005","FCM"
1984,560.339065252793,"LE2-1091.005","FCM"
1985,576.175802364189,"LE2-1091.005","FCM"
1986,580.659548458278,"LE2-1091.005","FCM"
1987,557.686289843946,"LE2-1091.005","FCM"
1988,660.052331981823,"LE2-1091.005","FCM"
1989,661.083166175159,"LE2-1091.005","FCM"
1990,615.500497906368,"LE2-1091.005","FCM"
1991,615.381731432411,"LE2-1091.005","FCM"
1992,605.355604622578,"LE2-1091.005","FCM"
1993,669.329048289136,"LE2-1091.005","FCM"
1994,685.039144801765,"LE2-1091.005","FCM"
1995,748.0763402672,"LE2-1091.005","FCM"
1996,767.007934211065,"LE2-1091.005","FCM"
1997,699.261114282222,"LE2-1091.005","FCM"
1998,710.440791478168,"LE2-1091.005","FCM"
1999,698.644275251625,"LE2-1091.005","FCM"
2000,697.246728324076,"LE2-1091.005","FCM"
2001,689.361572649184,"LE2-1091.005","FCM"
2002,795.30825520385,"LE2-1091.005","FCM"
2003,785.060036844129,"LE2-1091.005","FCM"
2004,809.792648191193,"LE2-1091.005","FCM"
2005,802.913100055878,"LE2-1091.005","FCM"
2006,867.712314241798,"LE2-1091.005","FCM"
2007,857.964769342924,"LE2-1091.005","FCM"
2008,801.394056736815,"LE2-1091.005","FCM"
2009,768.254521270894,"LE2-1091.005","FCM"
2010,730.070525669735,"LE2-1091.005","FCM"
2011,712.415532608441,"LE2-1091.005","FCM"
2012,737.511081251388,"LE2-1091.005","FCM"
2013,729.534881822982,"LE2-1091.005","FCM"
2014,729.930123011712,"LE2-1091.005","FCM"
1964,526.052617121346,"LE2-1111.006","FCM"
1965,441.069230006692,"LE2-1111.006","FCM"
1966,527.63849021304,"LE2-1111.006","FCM"
1967,533.712370593755,"LE2-1111.006","FCM"
1968,439.781155260381,"LE2-1111.006","FCM"
1969,486.565874244845,"LE2-1111.006","FCM"
1970,507.832203006405,"LE2-1111.006","FCM"
1971,519.034370547048,"LE2-1111.006","FCM"
1972,533.316313827342,"LE2-1111.006","FCM"
1973,519.426058632773,"LE2-1111.006","FCM"
1974,489.447368884811,"LE2-1111.006","FCM"
1975,483.227538573328,"LE2-1111.006","FCM"
1976,621.54689308211,"LE2-1111.006","FCM"
1977,626.967979042823,"LE2-1111.006","FCM"
1978,641.140594125649,"LE2-1111.006","FCM"
1979,638.664276371661,"LE2-1111.006","FCM"
1980,639.58162434674,"LE2-1111.006","FCM"
1981,583.076953344543,"LE2-1111.006","FCM"
1982,574.106415916451,"LE2-1111.006","FCM"
1983,573.873727345711,"LE2-1111.006","FCM"
1984,518.377462055028,"LE2-1111.006","FCM"
1985,471.742197264598,"LE2-1111.006","FCM"
1986,485.925634025843,"LE2-1111.006","FCM"
1987,440.833972522328,"LE2-1111.006","FCM"
1988,492.164046848893,"LE2-1111.006","FCM"
1989,507.796356177503,"LE2-1111.006","FCM"
1990,505.696945629973,"LE2-1111.006","FCM"
1991,363.596219953922,"LE2-1111.006","FCM"
1992,363.174608718216,"LE2-1111.006","FCM"
1993,359.857673933638,"LE2-1111.006","FCM"
1994,350.920577442172,"LE2-1111.006","FCM"
1995,351.795579789244,"LE2-1111.006","FCM"
1996,372.721743380003,"LE2-1111.006","FCM"
1997,373.083785293077,"LE2-1111.006","FCM"
1998,423.134154327517,"LE2-1111.006","FCM"
1999,426.127581825842,"LE2-1111.006","FCM"
2000,422.713845566744,"LE2-1111.006","FCM"
2001,408.850781366448,"LE2-1111.006","FCM"
2002,412.141150784797,"LE2-1111.006","FCM"
2003,336.800294824827,"LE2-1111.006","FCM"
2004,335.068776382235,"LE2-1111.006","FCM"
2005,341.289148140664,"LE2-1111.006","FCM"
2006,494.951464131912,"LE2-1111.006","FCM"
2007,501.040003927052,"LE2-1111.006","FCM"
2008,479.976249443055,"LE2-1111.006","FCM"
2009,528.202507069345,"LE2-1111.006","FCM"
2010,562.857375728582,"LE2-1111.006","FCM"
2011,521.984421206683,"LE2-1111.006","FCM"
2012,524.734483869795,"LE2-1111.006","FCM"
2013,591.624214480995,"LE2-1111.006","FCM"
2014,622.681077085082,"LE2-1111.006","FCM"
1964,408.125066812114,"LE2-1131.007","FCM"
1965,436.245285660812,"LE2-1131.007","FCM"
1966,435.435736296774,"LE2-1131.007","FCM"
1967,450.431152884833,"LE2-1131.007","FCM"
1968,446.516261397958,"LE2-1131.007","FCM"
1969,460.878387838549,"LE2-1131.007","FCM"
1970,488.974583913633,"LE2-1131.007","FCM"
1971,492.970247588073,"LE2-1131.007","FCM"
1972,525.386973024245,"LE2-1131.007","FCM"
1973,525.685018321678,"LE2-1131.007","FCM"
1974,529.321244438672,"LE2-1131.007","FCM"
1975,490.657065103654,"LE2-1131.007","FCM"
1976,492.373413971776,"LE2-1131.007","FCM"
1977,489.720275463181,"LE2-1131.007","FCM"
1978,521.199824514919,"LE2-1131.007","FCM"
1979,537.34646781704,"LE2-1131.007","FCM"
1980,506.132837758859,"LE2-1131.007","FCM"
1981,520.834357287749,"LE2-1131.007","FCM"
1982,519.16481560918,"LE2-1131.007","FCM"
1983,537.004938465925,"LE2-1131.007","FCM"
1984,579.348946714739,"LE2-1131.007","FCM"
1985,541.03017506428,"LE2-1131.007","FCM"
1986,585.329336280266,"LE2-1131.007","FCM"
1987,549.903277702648,"LE2-1131.007","FCM"
1988,572.42077335786,"LE2-1131.007","FCM"
1989,626.727661968251,"LE2-1131.007","FCM"
1990,638.714292336257,"LE2-1131.007","FCM"
1991,630.184077194194,"LE2-1131.007","FCM"
1992,654.738594094845,"LE2-1131.007","FCM"
1993,702.931647255908,"LE2-1131.007","FCM"
1994,677.989463089717,"LE2-1131.007","FCM"
1995,677.009048113001,"LE2-1131.007","FCM"
1996,730.865967090995,"LE2-1131.007","FCM"
1997,734.101179144503,"LE2-1131.007","FCM"
1998,718.789974108713,"LE2-1131.007","FCM"
1999,660.695528172979,"LE2-1131.007","FCM"
2000,666.16510923834,"LE2-1131.007","FCM"
2001,638.989444107526,"LE2-1131.007","FCM"
2002,657.012756747841,"LE2-1131.007","FCM"
2003,642.652535582838,"LE2-1131.007","FCM"
2004,644.748181050692,"LE2-1131.007","FCM"
2005,642.642639485556,"LE2-1131.007","FCM"
