"","Year","mean.anom"
"1",1854,0.516619404276851
"2",1855,0.785530688222549
"3",1856,0.634826984024248
"4",1857,0.716590997420519
"5",1858,0.655229335875466
"6",1859,-0.151683023169642
"7",1860,-0.0206540838744441
"8",1861,0.342677081622206
"9",1862,0.471542799177645
"10",1863,0.597126110619719
"11",1864,0.526585885874804
"12",1865,0.450237465447402
"13",1866,0.238886001474384
"14",1867,0.502970023846945
"15",1868,0.385125796176427
"16",1869,0.648758904594726
"17",1870,0.364251923693814
"18",1871,0.43799462877396
"19",1872,0.11359758373951
"20",1873,-0.38904149567723
"21",1874,0.986416108364879
"22",1875,-0.200210109901177
"23",1876,0.309403544245015
"24",1877,0.550491800252409
"25",1878,-0.217586474026619
"26",1879,0.581103189301588
"27",1880,-0.579727469274012
"28",1881,-0.502411042486397
"29",1882,-0.529449108040412
"30",1883,1.0116801444029
"31",1884,1.39768489871009
"32",1885,-0.797659899864548
"33",1886,0.0394630759303095
"34",1887,-0.643884238747847
"35",1888,1.58027911100092
"36",1889,0.344555163283132
"37",1890,-1.15922958242944
"38",1891,0.0956198417544324
"39",1892,-0.482205974920332
"40",1893,-0.433000257587996
"41",1894,-0.867732124646203
"42",1895,-0.14355043111646
"43",1896,-0.0748586206242453
"44",1897,-0.758293641730987
"45",1898,1.09085738731625
"46",1899,-0.116524289911635
"47",1900,0.696726417261854
"48",1901,-1.1064888797027
"49",1902,0.141630213467274
"50",1903,-0.840979770863282
"51",1904,-1.26934370314782
"52",1905,-0.0494953374340695
"53",1906,0.0629751183279435
"54",1907,-1.6603747287288
"55",1908,-1.31566602542773
"56",1909,-1.53945326190402
"57",1910,-1.32825109719395
"58",1911,-0.580058011781258
"59",1912,0.228403002506283
"60",1913,0.0483724957556347
"61",1914,-0.322266119279511
"62",1915,0.757596610106036
"63",1916,-1.13237048865756
"64",1917,-0.7806568036653
"65",1918,-1.12932552864782
"66",1919,-0.862123044242521
"67",1920,-0.618649356767242
"68",1921,-0.274900914998925
"69",1922,-0.416691148558103
"70",1923,-0.0491042433340469
"71",1924,-0.557256199995929
"72",1925,-0.624672420379238
"73",1926,1.04750541628927
"74",1927,-0.0334962345981301
"75",1928,-0.424912506809785
"76",1929,0.54105665707032
"77",1930,-0.0164959934320128
"78",1931,0.0465265348189006
"79",1932,-0.250103507632999
"80",1933,-0.343957669541026
"81",1934,0.218593689712576
"82",1935,0.202978725487402
"83",1936,1.42287256803995
"84",1937,0.616732212568443
"85",1938,-0.176267991607065
"86",1939,-0.325530213162681
"87",1940,0.732424923560208
"88",1941,1.3666919369606
"89",1942,1.05304339511023
"90",1943,-0.387908923457087
"91",1944,0.241195393899656
"92",1945,0.379348542237605
"93",1946,-0.0239357459593461
"94",1947,-0.855470170856841
"95",1948,-0.679533494000697
"96",1949,-0.643629194050436
"97",1950,-0.658600227924719
"98",1951,-0.135287756575988
"99",1952,-0.172217650031207
"100",1953,0.111010955872455
"101",1954,0.272132730895017
"102",1955,-0.0943724082898025
"103",1956,0.0210598769274225
"104",1957,0.834276368024475
"105",1958,0.772986613763707
"106",1959,0.537442455328981
"107",1960,0.140534542284636
"108",1961,0.316843724388976
"109",1962,0.274126661241265
"110",1963,0.675905144188853
"111",1964,-0.156027699828737
"112",1965,-0.657357157429747
"113",1966,-0.486393607656948
"114",1967,0.0716178771296713
"115",1968,0.0512538857389975
"116",1969,-0.443925023957815
"117",1970,-0.0587510042696062
"118",1971,-1.1903304010522
"119",1972,-1.17698860883008
"120",1973,-0.864753615377199
"121",1974,-0.221941141251734
"122",1975,-0.963510067942638
"123",1976,-0.532360832145085
"124",1977,0.362921391142071
"125",1978,-0.167351771897303
"126",1979,0.328373745341832
"127",1980,-0.186087243459202
"128",1981,0.58528494106774
"129",1982,-0.508263640469933
"130",1983,0.650596620238132
"131",1984,0.708211449359247
"132",1985,-0.422295235406523
"133",1986,0.00849250123080199
"134",1987,0.182318948789829
"135",1988,0.000690316884858226
"136",1989,0.112309608084338
"137",1990,-0.0583668870873176
"138",1991,-0.366869476380617
"139",1992,-0.24481801287789
"140",1993,0.34171563884963
"141",1994,-0.00484841271114969
"142",1995,-0.337794789160178
"143",1996,-0.218125827466735
"144",1997,0.672000984186843
"145",1998,0.336303946701834
"146",1999,-0.617748356554676
"147",2000,-0.318274107052149
"148",2001,-0.160745349687185
"149",2002,0.0410330368092504
"150",2003,0.648914680282652
"151",2004,0.4188002864366
"152",2005,0.737235935431718
"153",2006,-0.265359501945772
"154",2007,-0.547527409041789
"155",2008,-0.696227537122757
"156",2009,-0.5128630137241
"157",2010,0.062580154976145
"158",2011,-0.173612197347775
"159",2012,-0.753996590962826
"160",2013,0.0631980845115316
"161",2014,0.931822830626954
"162",2015,0.918071177437244
"163",2016,1.41973884005769
"164",2017,0.316972782518123
"165",2018,0.785028966308944
"166",2019,1.35954956679152
"167",2020,0.486862901241995
"168",2021,-0.197643813786077
"169",2022,0.275734188775528
"170",2023,0.141143822421537
"171",2024,0.154243589491
