"year","PC1"
1950,0.0315761281950377
1951,0.0352910288402176
1952,0.0177688595340546
1953,-0.0271326323883113
1954,-0.00219286300200505
1955,0.0142699388386169
1956,0.0349835240682666
1957,0.0159762005123471
1958,-0.0207652812249448
1959,0.00797362021052002
1960,-0.00690365482239678
1961,-0.0336474087507975
1962,0.0192860477895812
1963,-0.0158739108445958
1964,-0.0106876805474636
1965,0.0111722463765762
1966,0.0199328343283445
1967,0.0217876020563217
1968,-7.76075320310925e-05
1969,0.012003264129908
1970,-0.043360058537857
1971,0.0270283174326491
1972,0.0321907487057686
1973,-0.0026727120525128
1974,-0.00276701303990182
1975,-0.00046265312349815
1976,0.00126181697330716
1977,-0.0440469811715851
1978,-0.0368839261538954
1979,0.0132813312591056
1980,-0.0173648560819535
1981,-0.0533008689148658
1982,0.0153382335319458
1983,-0.0741037142927473
1984,-0.0335259583341333
1985,0.00647814047768854
1986,-0.0457164765813628
1987,-0.0412935066425179
1988,-0.0187340763084506
1989,0.0283145890948242
1990,0.0107484915630923
1991,0.0206044536157642
1992,-0.0383834582859618
1993,-0.00824254272780135
1994,0.00567606954308423
1995,-0.0102339734766902
1996,-0.0131772641677761
1997,-0.00911635190735698
1998,-0.0534274440875
1999,-0.00700483854388667
2000,-0.0151996242362634
2001,-0.0285827925897875
2002,-0.00524174373902976
2003,-0.0507328170581272
2004,-0.0070646771210197
2005,-0.0133646003089585
2006,0.00467064019336419
2007,0.0055892561593192
2008,-0.00163092621136153
2009,0.045588666051857
2010,-0.0402269435852651
2011,0.026286907162342
2012,0.00662431948740879
2013,0.0138647920029051
2014,0.00992992665019123
2015,-0.0185478473184239
2016,-0.0459506827664589
2017,0.00977696454919419
2018,0.0423017195732167
2019,-0.00241051370480839
2020,0.0230806679828789
2021,0.00900584218972908
2022,0.0128552954406512
2023,0.0233573258868429
2024,-0.0118309925129735
2025,-0.0225015905592694
2026,0.0240781374613877
