"lon","lat","mean.e1","mean.e2","diff"
110.499992370605,20.0761108398438,-0.00014739177865274,-0.000552469245222811,-0.000405077466570071
110.749992370605,20.0761108398438,-0.024893679980111,-0.0848872182269891,-0.0599935382468781
111,20.0761108398438,0.199868490339981,-1.17764081822501,-1.37750930856499
111.25,20.0761108398438,-1.38329155527883,-0.146359432654248,1.23693212262458
111.5,20.0761108398438,-0.708657717125283,-0.692056888176335,0.0166008289489479
111.749992370605,20.0761108398438,-0.622259697028332,-0.866543504264619,-0.244283807236287
111.999992370605,20.0761108398438,-1.08518989764982,-0.496160183515814,0.589029714134004
112.249992370605,20.0761108398438,-1.17924541102515,-0.320055909641087,0.859189501384066
112.500007629395,20.0761108398438,-0.801958503848356,-0.273097258971797,0.528861244876559
112.750007629395,20.0761108398438,-0.792345785266823,-0.451047223475244,0.341298561791579
113.000007629395,20.0761108398438,-0.790980332303378,-0.440080064369573,0.350900267933806
113.25,20.0761108398438,-1.2216425058018,-0.0993568626542886,1.12228564314751
113.5,20.0761108398438,-2.13039479297068,0.22883960571554,2.35923439868622
113.75,20.0761108398438,-2.27688423544168,-0.564634078409937,1.71225015703175
114.000007629395,20.0761108398438,-2.32441173891226,-0.95413428346316,1.3702774554491
114.250007629395,20.0761108398438,-2.33931725819906,-1.19449002014266,1.14482723805639
114.5,20.0761108398438,-2.44267266156773,-1.24109423905611,1.20157842251162
114.75,20.0761108398438,-2.85487094107084,-1.07701618389951,1.77785475717133
115,20.0761108398438,-2.97830070323414,-0.992606460882558,1.98569424235159
115.249992370605,20.0761108398438,-2.71086675491598,-1.12532697916031,1.58553977575567
115.500007629395,20.0761108398438,-2.73654183646043,-0.857260333581103,1.87928150287933
115.750007629395,20.0761108398438,-2.7796299242725,-0.654141911574536,2.12548801269796
116,20.0761108398438,-3.06607805093129,-0.446094684468375,2.61998336646292
116.25,20.0761108398438,-2.97207550770707,-0.293497859769397,2.67857764793767
116.5,20.0761108398438,-2.913220367829,-0.168421111835374,2.74479925599363
116.749992370605,20.0761108398438,-2.79088772717449,-0.15890296138823,2.63198476578626
116.999992370605,20.0761108398438,-2.90359966225094,-0.248402168684536,2.65519749356641
117.250007629395,20.0761108398438,-2.74636190434297,-0.154592062036196,2.59176984230677
117.5,20.0761108398438,-2.38025296860271,-0.286401417768664,2.09385155083405
117.75,20.0761108398438,-1.95224513167308,-0.508050817582342,1.44419431409074
118,20.0761108398438,-1.75210171134935,-0.844191881186432,0.907909830162922
118.249992370605,20.0761108398438,-1.53201571173138,-0.864812124272188,0.667203587459193
118.499992370605,20.0761108398438,-1.35632725374566,-1.06552844242089,0.290798811324769
118.75,20.0761108398438,-1.0140883208149,-1.69286030994521,-0.678771989130312
119,20.0761108398438,-0.900839745667246,-2.16057661707617,-1.25973687140892
119.25,20.0761108398438,-0.768725292219056,-2.83345985412598,-2.06473456190692
119.499992370605,20.0761108398438,-0.467435824746887,-3.31372888477312,-2.84629306002624
119.749992370605,20.0761108398438,-0.256361567270425,-3.83395137108035,-3.57758980380992
119.999992370605,20.0761108398438,-0.379838289196293,-4.05297447919018,-3.67313618999388
120.250007629395,20.0761108398438,-0.732473508372075,-4.06984904268239,-3.33737553431032
120.500007629395,20.0761108398438,-1.0995067098178,-3.64348818287253,-2.54398147305474
120.750007629395,20.0761108398438,-1.63719493283166,-2.95418941113684,-1.31699447830518
121,20.0761108398438,-2.13623554474778,-2.50541422698233,-0.369178682234552
121.25,20.0761108398438,-1.92059643988808,-2.8640431859427,-0.943446746054623
121.5,20.0761108398438,-2.43532237580253,-3.08887217111058,-0.653549795308047
121.750007629395,20.0761108398438,-2.15013140473101,-2.78335924628708,-0.633227841556072
122.000007629395,20.0761108398438,-2.01192107912567,-3.1823642646273,-1.17044318550163
122.25,20.0761108398438,-1.28682010720174,-2.81115859051545,-1.52433848331372
122.5,20.0761108398438,0.134988218131992,-3.22896758384175,-3.36395580197374
122.75,20.0761108398438,0.945585639443662,-1.904343139463,-2.84992877890666
122.999992370605,20.0761108398438,1.55202941298485,-2.52449398106999,-4.07652339405484
123.250007629395,20.0761108398438,1.80888813903762,-1.81975254176392,-3.62864068080154
123.500007629395,20.0761108398438,2.6272851417462,-2.47304825004604,-5.10033339179224
123.75,20.0761108398438,2.76189642416106,-2.38222713437345,-5.14412355853452
124,20.0761108398438,2.88869585427973,-2.49802298943202,-5.38671884371175
124.25,20.0761108398438,3.13352622787158,-2.59589027232594,-5.72941650019752
124.499992370605,20.0761108398438,3.21630306839943,-2.73970268120368,-5.95600574960311
124.749992370605,20.0761108398438,3.52799859754741,-3.09098499615987,-6.61898359370728
125.000007629395,20.0761108398438,3.87986567020416,-3.13933811022176,-7.01920378042592
125.25,20.0761108398438,4.02598835411999,-3.24756236771743,-7.27355072183741
125.5,20.0761108398438,4.15779359837373,-3.06930659678247,-7.2271001951562
125.75,20.0761108398438,3.64137552976608,-2.70298451450136,-6.34436004426744
125.999992370605,20.0761108398438,3.11131906029251,-2.53223829799228,-5.64355735828479
126.249992370605,20.0761108398438,3.16155488962928,-2.60496057636208,-5.76651546599136
126.5,20.0761108398438,3.81998273469508,-2.79516912880871,-6.61515186350379
126.75,20.0761108398438,4.81305867187265,-3.40724517040783,-8.22030384228047
127,20.0761108398438,5.851731204821,-3.87294850614336,-9.72467971096436
127.249992370605,20.0761108398438,6.47129818209343,-3.97486443850729,-10.4461626206007
127.499992370605,20.0761108398438,6.45747263506055,-3.92926918984287,-10.3867418249034
127.749992370605,20.0761108398438,5.78101438151466,-3.66351402037674,-9.44452840189139
128,20.0761108398438,4.61715582410494,-2.97586336268319,-7.59301918678814
128.25,20.0761108398438,3.72648311853409,-2.52158111838831,-6.2480642369224
128.5,20.0761108398438,2.97465610371696,-2.09972748193476,-5.07438358565172
