"lon","lat","beta.mean","beta.sd","n.members"
160,20.2617797851562,0.00231874717992893,0.0187689661753541,20
160,21.2041854858398,-0.000686072840341854,0.0184990903719722,20
160,22.146598815918,-0.00326712535779843,0.0189235503112998,20
160,23.0890045166016,-0.00484726157036505,0.0196625960670607,20
160,24.0314178466797,-0.00523147774393975,0.0197125268737807,20
160,24.9738235473633,-0.00471035216950882,0.01977843889483,20
160,25.9162292480469,-0.0028889269398003,0.0199660666923063,20
160,26.858642578125,0.000464805274075898,0.0200331714024334,20
160,27.8010482788086,0.00242715858357224,0.0207230088410754,20
160,28.7434539794922,0.0031512444049678,0.0223071703431294,20
160,29.6858673095703,0.00427301002986302,0.0242450021528039,20
160,30.6282730102539,0.00559676946630515,0.0255090089000714,20
160,31.5706787109375,0.0068985878653725,0.025882336949111,20
160,32.5130920410156,0.00729688131737943,0.0244776627379525,20
160,33.4554977416992,0.00729285861043591,0.0222135733625033,20
160,34.3979034423828,0.00736073045965631,0.0204702000944642,20
160,35.3403167724609,0.00790349131475206,0.0200495152940698,20
160,36.2827224731445,0.00883227236913683,0.0214010413534291,20
160,37.2251281738281,0.00966893561771966,0.0232807124229361,20
160,38.1675415039062,0.0102119710520101,0.0249698204280083,20
160,39.1099548339844,0.00962216313954929,0.0251321555268911,20
160,40.0523529052734,0.00730555427455089,0.024241905195843,20
160,40.9947662353516,0.00512380856572186,0.0240827479484785,20
160,41.9371795654297,0.0043844498843442,0.0239821081354495,20
160,42.8795776367188,0.00486352945381743,0.0228075616808547,20
160,43.8219909667969,0.00520028508678563,0.0206136457830485,20
160,44.764404296875,0.00479981619921077,0.0194789494232265,20
160,45.7068023681641,0.00360169735687526,0.0176781618547311,20
160,46.6492156982422,0.0034710583979699,0.0162494038537296,20
160,47.5916290283203,0.00463966781609189,0.0158511817876005,20
160,48.5340270996094,0.00582370259964091,0.0164932389277848,20
160,49.4764404296875,0.00622794788582589,0.0173751535505684,20
160,50.4188537597656,0.00598772656069806,0.0177913419249595,20
160,51.3612518310547,0.0050298498201531,0.0179490596403658,20
160,52.3036651611328,0.0040717199901566,0.0179223005944418,20
160,53.2460784912109,0.00336417870537097,0.0177346420870731,20
160,54.1884765625,0.00245451997627991,0.0181794119995656,20
160,58.9005279541016,-0.0026063832073845,0.0166912618683321,20
160,59.8429260253906,-0.00230507149100789,0.0161525055804799,20
160,60.7853393554688,-0.00178043372168859,0.0165640154524441,20
160,61.7277526855469,-0.003127781792831,0.0182872657787444,20
161.25,20.2617797851562,0.0032740073002291,0.0191920106494984,20
161.25,21.2041854858398,0.000254320038911887,0.0185735788731754,20
161.25,22.146598815918,-0.00243276009582792,0.0186285304883465,20
161.25,23.0890045166016,-0.00401600425435181,0.0191446652385133,20
161.25,24.0314178466797,-0.00470734886136119,0.0192033030923416,20
161.25,24.9738235473633,-0.00466305172947367,0.019248366298452,20
161.25,25.9162292480469,-0.00357309801801043,0.0195681542964471,20
161.25,26.858642578125,-0.000687244809766972,0.0197298878143428,20
161.25,27.8010482788086,0.00159928951510324,0.0201735066073537,20
161.25,28.7434539794922,0.00246192854286963,0.0218323372239656,20
161.25,29.6858673095703,0.00368185760548839,0.0240065379177959,20
161.25,30.6282730102539,0.00517687409785632,0.0251464957673831,20
161.25,31.5706787109375,0.00676542907142091,0.0258432023007899,20
161.25,32.5130920410156,0.00755203114648913,0.0251161425609593,20
161.25,33.4554977416992,0.00773897692651827,0.0234645753632815,20
161.25,34.3979034423828,0.00765243855066265,0.0215275658507008,20
161.25,35.3403167724609,0.00803102901266976,0.0204001260245454,20
161.25,36.2827224731445,0.0088703858184676,0.0207595576795084,20
161.25,37.2251281738281,0.00966022956239021,0.0219221952880679,20
161.25,38.1675415039062,0.0101160417163456,0.0231387914020821,20
161.25,39.1099548339844,0.0093091265405219,0.0233980287380989,20
161.25,40.0523529052734,0.0069691063770826,0.0227707783986585,20
161.25,40.9947662353516,0.0051201253086065,0.0226153329255634,20
161.25,41.9371795654297,0.00460279616946692,0.0229715850961501,20
161.25,42.8795776367188,0.00511326437617417,0.0228516588166097,20
