"lon","lat","beta","pval","qval"
180.5,66,0.00159161822489084,0.329355638012538,0.443755979881471
180.75,66,0.00169100398519231,0.319823245358927,0.43366696199621
190,66,0.00136909814616825,0.701711667086815,0.781373313211096
190.25,66,0.00172729969058206,0.646455245003968,0.737445877318653
190.5,66,0.00207246670997395,0.605227495371572,0.703375454864812
190.75,66,0.00199606150975336,0.641197041872896,0.733128727427104
191,66,0.00125474312942383,0.77819772209713,0.841037408416837
191.25,66,0.00051628566876377,0.91110231922863,0.93883756079345
191.5,66,0.000710489498261416,0.877486827838329,0.91495814602122
191.75,66,0.00142396348485711,0.751530512616976,0.820628754888753
192,66,0.00191750624242236,0.671778949838256,0.757937470317431
192.25,66,0.00299394649261504,0.498052992672937,0.610026878331555
192.5,66,0.00317474801249621,0.436693763009972,0.551717550025121
192.75,66,0.00316351534921456,0.418053810277163,0.53358893388237
238,66,-0.000585923257213742,0.871650105871725,0.910821624785933
238.25,66,-0.000464305936552084,0.89815986381131,0.929884402456851
238.5,66,-0.000294966886452476,0.934851112019335,0.955367714842322
238.75,66,-0.000133588599002579,0.970118004853333,0.979759541526572
239,66,-4.71725030850101e-05,0.989521702507815,0.992895071948183
239.25,66,0.000113416602920178,0.975148310129798,0.983060434988008
239.5,66,0.00027546889810319,0.939331116748512,0.958297607311369
239.75,66,0.000437902351679124,0.902253570171952,0.932564558658356
240,66,0.000573710522428083,0.871620577417475,0.910804242374676
240.25,66,0.000537572208152019,0.877366123305762,0.914884477035841
240.5,66,0.000556790003272569,0.870537200664108,0.909860592346347
240.75,66,0.000619738206371158,0.853572188342895,0.897601990148895
241,66,0.000783921923553296,0.812967665030823,0.867419329739318
241.25,66,0.000914604871280935,0.77988523218517,0.842307053001459
241.5,66,0.00101601430581606,0.750625165956098,0.819944357690647
241.75,66,0.00106146343097417,0.733915484064098,0.807026666545196
180.5,65.75,0.00108159616150199,0.627490449365615,0.721685531474879
180.75,65.75,0.000976564209664708,0.669435027446599,0.755957003258377
181,65.75,0.000772590545771011,0.754670706218057,0.823001755109896
181.25,65.75,0.000787407883453948,0.767612549424584,0.832897877077133
189.5,65.75,0.00185419840037236,0.589277404474675,0.689683806946966
189.75,65.75,0.00179415778384455,0.62401649365553,0.718954284835377
190,65.75,0.00170430287168756,0.676620928347046,0.76164869774732
190.25,65.75,0.00149336735905717,0.724218252413771,0.79945582808021
190.5,65.75,0.00168917908960204,0.70409424375256,0.783189263670847
190.75,65.75,0.00143086923014694,0.756247156922408,0.824268916937769
191,65.75,0.000341588213596263,0.941969033099143,0.96016686453097
191.25,65.75,-0.000312505486124168,0.949139419207626,0.965430373413586
191.5,65.75,0.000359894067145427,0.939513507888564,0.958440814459502
191.75,65.75,0.00118251388461087,0.797202171896365,0.855412352813319
192,65.75,0.00185656646226481,0.68330360118073,0.766471875941354
192.75,65.75,0.00266992453611685,0.477408250560993,0.590718160631398
238,65.75,-0.000523333929578121,0.887969128157204,0.922823209748498
238.25,65.75,-0.00045976202148864,0.901789519635613,0.932248604856578
238.5,65.75,-0.000404127827172294,0.914040006908752,0.941043039774302
238.75,65.75,-0.000346916382831522,0.926956103156861,0.950048302119767
239,65.75,-0.000181108761490282,0.962273937828333,0.974538443437276
239.25,65.75,-0.00022512310475723,0.949927604792104,0.965981040231192
239.5,65.75,-0.000146596205386913,0.966081825365153,0.977078103569252
239.75,65.75,0.000148929355435903,0.964418698405965,0.97603886668
240,65.75,0.000667546224416494,0.831640999391285,0.881771136482354
240.25,65.75,0.000564893797002581,0.868073629272407,0.908145686237324
240.75,65.75,0.000529125084803665,0.877601646808975,0.91502384216596
241.5,65.75,0.000965579126872809,0.770815007695299,0.835218077762888
180.5,65.5,0.00157719423353103,0.523266513808734,0.632859623058075
180.75,65.5,0.0017639169461078,0.498413144401135,0.610337075208823
181,65.5,0.00171208107022136,0.527375050796012,0.636599001849458
181.25,65.5,0.0016417534529235,0.569821752251077,0.673632034324331
181.5,65.5,0.00215841348665834,0.47853924105297,0.591799321785733
182.25,65.5,0.000167845716172326,0.960925753165302,0.973626474002724
182.75,65.5,0.000167845716172326,0.960925753165302,0.973626474002724
183.5,65.5,0.000424377321477031,0.894455603602317,0.927437335994061
184,65.5,0.000424377321477031,0.894455603602317,0.927437335994061
188.5,65.5,0.00227112859211951,0.556589964440017,0.662379377473007
189,65.5,0.00203956807171199,0.566476161267196,0.670698356299796
189.25,65.5,0.00202493589191423,0.578224210438238,0.680649195556693
189.5,65.5,0.00201634127650078,0.599030293094896,0.698068228978578
189.75,65.5,0.00194577258798375,0.635243151085046,0.728337085790648
190,65.5,0.00194099090128209,0.671807653748934,0.757940319347477
190.25,65.5,0.00170716027575915,0.719165613855026,0.795414253258425
190.5,65.5,0.00128543863046237,0.791173996257356,0.851115984095327
190.75,65.5,0.000419019429263362,0.932089903885601,0.953525325993148
191,65.5,-0.000660122694379684,0.895167658553085,0.927956142876701
191.25,65.5,-0.00160248056476005,0.755734653363875,0.823856786580413
191.5,65.5,-0.000619114319849863,0.899290444893912,0.930700261182987
191.75,65.5,0.000105994023604619,0.982271958437589,0.987992355854697
192,65.5,0.000783532770350829,0.86661254466628,0.907114218582018
192.25,65.5,0.00128256805731588,0.779110144761183,0.841727317059417
192.75,65.5,0.00155916377412194,0.737188037312141,0.809635767902636
237.25,65.5,-0.000767999150570208,0.830195708341034,0.880582372401733
237.75,65.5,-0.000617230982123555,0.867194246346166,0.907588620983364
238,65.5,-0.000515401293024129,0.890834110893757,0.924861797938522
238.25,65.5,-0.000447961780228305,0.906246980310022,0.93532357385746
238.75,65.5,-0.000354906278687588,0.927661816715507,0.950578509839178
239.25,65.5,-0.000472408494736452,0.885028100901561,0.920524177995396
239.5,65.5,-0.000425815842271525,0.897323135626698,0.929331392682128
239.75,65.5,-0.000178329667399937,0.956051260201026,0.970254016913918
240,65.5,0.000349928667815022,0.9082295310119,0.936685462532201
240.25,65.5,2.11995555170318e-05,0.994756532518408,0.99646524397243
180.5,65.25,0.00253898937132572,0.430450764834086,0.545672278154473
180.75,65.25,0.00259242417094291,0.419706501675603,0.535260286664824
181,65.25,0.00264104167969996,0.421133798540013,0.536683291459049
181.25,65.25,0.00281635864300505,0.419904805959467,0.535435854958243
181.5,65.25,0.00282604037444827,0.421172428783591,0.536713155868758
181.75,65.25,0.00279051895756489,0.411882801777914,0.527446391239584
182,65.25,0.00242485303247584,0.476217927833761,0.589534794121778
182.25,65.25,0.0016798098215376,0.637727642275836,0.730391398073301
182.5,65.25,0.00091364883326863,0.807430522381554,0.863266669204839
182.75,65.25,0.00164405532595879,0.672396055024064,0.758330922437932
183,65.25,0.00220474203291822,0.595000536148405,0.694632740687568
183.25,65.25,0.0021429341475657,0.601620467756894,0.700335676257717
183.5,65.25,0.00157768438234279,0.674381875008091,0.759867518761337
183.75,65.25,0.00131473445054778,0.715387537767699,0.792370025603157
184,65.25,0.000424452745153662,0.894457118156899,0.927437335994061
188,65.25,0.00143467772472767,0.689060449514445,0.771056110659302
188.25,65.25,0.00162992648888867,0.653408217608378,0.743043850623014
188.5,65.25,0.00216347138570133,0.569621575748844,0.673451741634141
188.75,65.25,0.00263352897516074,0.513185517256963,0.623498072633069
189,65.25,0.00267148240870333,0.528088167354808,0.637185081827375
189.25,65.25,0.00282456376840138,0.533024819374545,0.641553182576266
189.5,65.25,0.00287570041930081,0.546489076938806,0.653373385899223
189.75,65.25,0.0027935493434513,0.570748744375445,0.674265261354318
190,65.25,0.0023514277488846,0.636557061521213,0.729435496558192
190.25,65.25,0.00170710073933042,0.729227312614258,0.803374793973987
190.5,65.25,0.00110059322332197,0.82498872419909,0.876625753657903
190.75,65.25,0.000234387352736657,0.962973248061943,0.975057597783912
191,65.25,-0.000884703855437634,0.863682074031646,0.904904952531747
191.25,65.25,-0.00185474201331212,0.725341278756694,0.800345328512541
191.5,65.25,-0.00205618146817466,0.697241830116702,0.777857560597038
191.75,65.25,-0.00149578732029392,0.773776942636946,0.83763088235191
