"lon","lat","beta.mean","beta.sd","n.members"
160,20.2617797851562,-0.00134395144161298,0.0213371323876626,50
160,21.2041854858398,-0.000400667306300803,0.0212775239571761,50
160,22.146598815918,0.000712653091271247,0.0212160675640195,50
160,23.0890045166016,0.00186091792853286,0.020612833365143,50
160,24.0314178466797,0.00229997783239727,0.0195473279691899,50
160,24.9738235473633,0.00192081076176443,0.018713404370873,50
160,25.9162292480469,0.00133645275680342,0.0193750829626751,50
160,26.858642578125,0.00133676211484703,0.0216290499041639,50
160,27.8010482788086,0.00184451468012814,0.0238714067530576,50
160,28.7434539794922,0.00214059389511492,0.0246952109138416,50
160,29.6858673095703,0.00137907049933895,0.0230799104948471,50
160,30.6282730102539,0.000217899264176196,0.0202273669950357,50
160,31.5706787109375,-0.000317624500618859,0.0174275254418802,50
160,32.5130920410156,0.00110617627000761,0.0168666478601357,50
160,33.4554977416992,0.00363401040306567,0.01807623078395,50
160,34.3979034423828,0.00585334679925558,0.0192120371222613,50
160,35.3403167724609,0.00657808605958073,0.0206225784033738,50
160,36.2827224731445,0.00573772881755317,0.0221563684301917,50
160,37.2251281738281,0.00490309082410586,0.0224793554019093,50
160,38.1675415039062,0.00526160877726472,0.0227670528545027,50
160,39.1099548339844,0.00652674703347339,0.0234988394844332,50
160,40.0523529052734,0.00847723726025178,0.0229249962357032,50
160,40.9947662353516,0.00858657429908943,0.0217659655655261,50
160,41.9371795654297,0.00664946216930311,0.020778989204111,50
160,42.8795776367188,0.00430872783407393,0.0202736057289613,50
160,43.8219909667969,0.00271136271879838,0.0202462905647072,50
160,44.764404296875,0.00170683667462788,0.02055540426802,50
160,45.7068023681641,0.000870355890204501,0.0200330340874076,50
160,46.6492156982422,0.00110258694302589,0.0199261874055617,50
160,47.5916290283203,0.000492728559558055,0.020047696449281,50
160,48.5340270996094,-0.00058619364263237,0.0182727614366936,50
160,49.4764404296875,-0.00144760152797855,0.0166856450746264,50
160,50.4188537597656,-0.000523224849823941,0.017233465304345,50
160,51.3612518310547,0.000814273994691502,0.018190261690251,50
160,52.3036651611328,0.00154041100376997,0.0188990436382327,50
160,53.2460784912109,0.00201866819286486,0.0196825219216601,50
160,54.1884765625,0.00268195525028327,0.0206713884433293,50
160,58.9005279541016,-0.00029747277684388,0.0180716666932579,50
160,59.8429260253906,-0.000634166328584436,0.0179682839990076,50
160,60.7853393554688,-0.00138315672576407,0.017503695146803,50
160,61.7277526855469,-0.00168030119114859,0.017888981887543,50
161.25,20.2617797851562,-0.00152034528829404,0.02128492571617,50
161.25,21.2041854858398,-0.000596783471939729,0.0213596667213928,50
161.25,22.146598815918,0.000408197009517495,0.0214162212453397,50
