"","month.anom","Year","Month"
"1",0.363332060409899,1854,1
"2",0.523106512732129,1854,2
"3",0.980898322114679,1854,3
"4",1.01402830677162,1854,4
"5",-0.126835483804652,1854,5
"6",0.172841320790313,1854,6
"7",0.853712204580066,1854,7
"8",0.647143007627407,1854,8
"9",0.463352077452608,1854,9
"10",-0.109432966134304,1854,10
"11",0.451603260493892,1854,11
"12",0.965684228288555,1854,12
"13",1.12781409791552,1855,1
"14",0.786329960233088,1855,2
"15",0.906879823770929,1855,3
"16",1.39300544106189,1855,4
"17",1.40819894325045,1855,5
"18",0.354458466896896,1855,6
"19",0.171968020943292,1855,7
"20",0.48740456984949,1855,8
"21",0.794344734497431,1855,9
"22",1.06676287382456,1855,10
"23",0.637135398615042,1855,11
"24",0.292065927811996,1855,12
"25",0.773593109661065,1856,1
"26",0.311002080057562,1856,2
"27",0.836544719078969,1856,3
"28",0.261726393288447,1856,4
"29",0.359866326030102,1856,5
"30",0.275918721440757,1856,6
"31",0.691026004563192,1856,7
"32",1.07292585053304,1856,8
"33",0.849028204780224,1856,9
"34",0.923965102014179,1856,10
"35",0.537852543195746,1856,11
"36",0.724474753647694,1856,12
"37",0.871424028281297,1857,1
"38",0.522833557530944,1857,2
"39",-0.0203329023791645,1857,3
"40",0.138193752994958,1857,4
"41",0.289415414931947,1857,5
"42",0.954688065992053,1857,6
"43",0.749469783776353,1857,7
"44",0.631685382642601,1857,8
"45",1.15869739769152,1857,9
"46",1.31372837229586,1857,10
"47",1.12788551257411,1857,11
"48",0.861403602713742,1857,12
"49",0.808558050261792,1858,1
"50",0.262856117409647,1858,2
"51",0.009639587574982,1858,3
"52",0.00573010444923714,1858,4
"53",0.237851156693567,1858,5
"54",0.820198820423091,1858,6
"55",0.817756175516147,1858,7
"56",1.87766852259573,1858,8
"57",1.35905291475129,1858,9
"58",0.931277388834056,1858,10
"59",0.564245584498008,1858,11
"60",0.167917607498044,1858,12
"61",0.280874114797663,1859,1
"62",0.141654314943898,1859,2
"63",0.168249470844762,1859,3
"64",-0.796024166171882,1859,4
"65",-0.947268817279122,1859,5
"66",0.4865782449998,1859,6
"67",1.17516468635033,1859,7
"68",-0.164618623086424,1859,8
"69",-1.22706602728799,1859,9
"70",-1.20084814604247,1859,10
"71",-0.0646244964018017,1859,11
"72",0.327733166297535,1859,12
"73",0.377895219427158,1860,1
"74",0.669886110852024,1860,2
"75",0.643829998689718,1860,3
"76",0.360589236040528,1860,4
"77",0.203437201101223,1860,5
"78",-0.26170805832784,1860,6
"79",-1.73626733251742,1860,7
"80",-1.53895629454946,1860,8
"81",-0.122463746478667,1860,9
"82",0.397107068130333,1860,10
"83",0.521811068958968,1860,11
"84",0.2369905221801,1860,12
"85",0.503736925433273,1861,1
"86",0.430024718156431,1861,2
"87",-0.0627387030929926,1861,3
"88",0.264051669412311,1861,4
"89",0.355135141917908,1861,5
"90",0.241671794072947,1861,6
"91",0.380739419024624,1861,7
"92",0.373615137381062,1861,8
"93",0.742815438488815,1861,9
"94",0.208296822491089,1861,10
"95",0.192031575790723,1861,11
"96",0.482745040390287,1861,12
"97",0.524564726289871,1862,1
"98",0.477634150251561,1862,2
